Comment,Designator,Footprint,LCSC
4.7uF,C10,0603,C19666
10pF,"C12,C13,C15,C16",0402,
0.022uF,C14,0603,C21122
1uF,C17,0603,C15849
470pF,C18,0603,C1620
10uF,"C1,C2",1206,C13585
2.2uF,"C3,C4",0603,C23630
10uF,"C6,C25,C26,C27,C29,C30",0603,C19702
100nF,"C5,C7,C8,C9,C11,C19,C20,C21,C22,C23,C24,C28,C31,C32",0603,C14663
LED,"D1,D2,D3,D4,D5,D6",0603,C138543
FB,FB1,0603,C85831
220,"R1,R2,R3,R5",0603,C22962
1k5,R13,0603,C22843
33,"R14,R15,R16,R17,R18,R19",0603,C23140
270,"R21,R22",0603,C22966
12k1,R23,0603,C22864
1k,R6,0603,C21190
10k,"R4,R7,R8,R20,R24",0603,C25804
49.9,"R9,R10,R11,R12",0603,C23185
SKQGADE010,"SW1,SW2",SW-SMD,C116647
TL1963A-33DCYR,U1,SOT-223,C181262
STM32F427VGTx,U2,LQFP-100_14.0x14.0x0.5P,C91929
LAN8742A,U3,QFN-24_EP_4.0x4.0x0.5P,C153279
ECS-TXO-2520MV-500,Y1,Oscillator:Oscillator_SMD_Kyocera_KC2520Z-4Pin_2.5x2.0mm, 
ECS-TXO-2520MV-250,Y2,Oscillator:Oscillator_SMD_Kyocera_KC2520Z-4Pin_2.5x2.0mm, 
